# Shoplister library backup
# format-version: 3
# language: hebrew
#
# Edit in any plain-text editor. Lines starting with # are comments.
# Sections: [home_sections], [shopping_sections], [library], [recipes], [recipe_items].
# Library item rows are TAB-separated: name, home_section, shopping_section.
# Recipe item rows are TAB-separated: recipe_name, item_name, quantity.
# Section lists are one title per line (order is kept). Images are not exported.

[home_sections]
ירקות
פירות
מוצרי חלב
מקרר
מקפיא
לחמים
שימורים
פיצוחים
בישול
אפייה
חטיפים
שתיה
בקבוקים
תבלינים
חד פעמי
ניקיון
כביסה
היגיינה

[shopping_sections]
ירקות ופירות
פיצוחים
מאפייה
מעדנייה
היגיינה
ניקיון
כביסה
חטיפים
חד פעמי
אפייה
שימורים
בישול
רטבים
בקבוקים
שתיה
אלכוהול
מקפיא
קצבייה
תבלינים
מקרר
אחר

[library]
name	home_section	shopping_section	home_order
עגבניה	ירקות	ירקות ופירות	0
מלפפון	ירקות	ירקות ופירות	1
פלפל	ירקות	ירקות ופירות	2
בצל	ירקות	ירקות ופירות	3
בצל סגול	ירקות	ירקות ופירות	4
שום	ירקות	ירקות ופירות	5
גזר	ירקות	ירקות ופירות	6
עגבניה שרי	ירקות	ירקות ופירות	7
כרוב	ירקות	ירקות ופירות	8
תפוח אדמה	ירקות	ירקות ופירות	9
בזיליקום	ירקות	ירקות ופירות	10
בטטה	ירקות	ירקות ופירות	11
ברוקולי	ירקות	ירקות ופירות	12
דלעת	ירקות	ירקות ופירות	13
חסה	ירקות	ירקות ופירות	14
חציל	ירקות	ירקות ופירות	15
טימין	ירקות	ירקות ופירות	16
כוסברה	ירקות	ירקות ופירות	17
כרובית	ירקות	ירקות ופירות	18
סלק	ירקות	ירקות ופירות	19
סלרי	ירקות	ירקות ופירות	20
עלי בייבי	ירקות	ירקות ופירות	21
פטרוזיליה	ירקות	ירקות ופירות	22
פטריות	ירקות	ירקות ופירות	23
קולורבי	ירקות	ירקות ופירות	24
קישוא	ירקות	ירקות ופירות	25
רוזמרין	ירקות	ירקות ופירות	26
שומר	ירקות	ירקות ופירות	27
שמיר	ירקות	ירקות ופירות	28
תירס	ירקות	ירקות ופירות	29
תרד	ירקות	ירקות ופירות	30
ענבים	פירות	ירקות ופירות	0
תפוח	פירות	ירקות ופירות	1
תפוז	פירות	ירקות ופירות	2
בננה	פירות	ירקות ופירות	3
אבטיח	פירות	ירקות ופירות	4
מלון	פירות	ירקות ופירות	5
אבוקדו	פירות	ירקות ופירות	6
אגס	פירות	ירקות ופירות	7
לימון	פירות	ירקות ופירות	8
ליצ'י	פירות	ירקות ופירות	9
נקטרינה	פירות	ירקות ופירות	10
קיווי	פירות	ירקות ופירות	11
קלמנטינה	פירות	ירקות ופירות	12
שזיף	פירות	ירקות ופירות	13
תות	פירות	ירקות ופירות	14
חלב	מוצרי חלב	מקרר	0
ביצים	מוצרי חלב	מקרר	1
מעדנים	מוצרי חלב	מקרר	2
חמאה	מוצרי חלב	מקרר	3
לבנה	מוצרי חלב	מקרר	4
גבינה מותכת	מוצרי חלב	מקרר	5
גבינה שמנת	מוצרי חלב	מקרר	6
שמנת לבישול	מוצרי חלב	מקרר	7
שמנת מתוקה	מוצרי חלב	מקרר	8
גבינה צהובה	מוצרי חלב	מקרר	9
גבינה צהובה מגורדת	מוצרי חלב	מקרר	10
גבינה פטה	מוצרי חלב	מקרר	11
אשל	מוצרי חלב	מקרר	12
בולגרית	מוצרי חלב	מקרר	13
גבינה לבנה	מוצרי חלב	מקרר	14
מוצרלה	מוצרי חלב	מקרר	15
קוטג'	מוצרי חלב	מקרר	16
שמנת חמוצה	מוצרי חלב	מקרר	17
חרדל	מקרר	רטבים	0
קטשופ	מקרר	רטבים	1
מיץ לימון	מקרר	בקבוקים	2
סירופ מייפל	מקרר	אפייה	3
רוטב סויה	מקרר	רטבים	4
חומוס	מקרר	מקרר	5
טחינה	מקרר	מקרר	6
סלמון מעושן	מקרר	מקרר	7
נקניק	מקרר	מקרר	8
פסטרמה	מקרר	מקרר	9
בשר טחון	מקפיא	קצבייה	0
קבבים	מקפיא	מקפיא	1
פרגיות	מקפיא	קצבייה	2
דג	מקפיא	מקפיא	3
חזה עוף	מקפיא	קצבייה	4
סטייקים	מקפיא	קצבייה	5
נקניקיות	מקפיא	מקרר	6
מלווח	מקפיא	מקפיא	7
צ'יפס	מקפיא	מקפיא	8
גזר גמדי	מקפיא	מקפיא	9
שניצל	מקפיא	מקפיא	10
אפונה	מקפיא	מקפיא	11
בורקס	מקפיא	מקפיא	12
